sku;handle;produto;categoria;custo;venda;aliexpress;foto_local
cozinha-186;ralador-mandoline;Ralador Mandoline;Cozinha;42,48;84,96;https://pt.aliexpress.com/w/wholesale-mandoline+slicer.html;assets/img/ali/cozinha-186.jpg
cozinha-187;batedor-eletrico-mini;Batedor Elétrico Mini;Cozinha;36,78;73,56;https://pt.aliexpress.com/w/wholesale-mini+electric+whisk.html;assets/img/ali/cozinha-187.jpg
cozinha-188;forma-silicone-airfryer;Forma Silicone Airfryer;Cozinha;30,04;60,08;https://pt.aliexpress.com/w/wholesale-air+fryer+silicone+pot.html;assets/img/ali/cozinha-188.jpg
cozinha-189;termometro-culinario;Termômetro Culinário;Cozinha;25,38;50,76;https://pt.aliexpress.com/w/wholesale-digital+meat+thermometer.html;assets/img/ali/cozinha-189.jpg
cozinha-190;abridor-eletrico;Abridor Elétrico;Cozinha;53,35;106,70;https://pt.aliexpress.com/w/wholesale-electric+can+opener.html;assets/img/ali/cozinha-190.jpg
cozinha-191;escorredor-dobravel;Escorredor Dobrável;Cozinha;27,97;55,94;https://pt.aliexpress.com/w/wholesale-collapsible+colander.html;assets/img/ali/cozinha-191.jpg
cozinha-192;dispenser-detergente;Dispenser Detergente;Cozinha;21,76;43,52;https://pt.aliexpress.com/w/wholesale-soap+dispenser+sponge+holder.html;assets/img/ali/cozinha-192.jpg
cozinha-193;tabua-antibacteriana;Tábua Antibacteriana;Cozinha;34,19;68,38;https://pt.aliexpress.com/w/wholesale-antibacterial+cutting+board.html;assets/img/ali/cozinha-193.jpg
cozinha-194;moedor-pimenta;Moedor Pimenta;Cozinha;26,42;52,84;https://pt.aliexpress.com/w/wholesale-pepper+mill+grinder.html;assets/img/ali/cozinha-194.jpg
cozinha-195;sifao-chantilly;Sifão Chantilly;Cozinha;71,48;142,96;https://pt.aliexpress.com/w/wholesale-whipped+cream+dispenser.html;assets/img/ali/cozinha-195.jpg
cozinha-196;cafeteira-italiana-6x;Cafeteira Italiana 6x;Cozinha;63,20;126,40;https://pt.aliexpress.com/w/wholesale-moka+pot+6+cup.html;assets/img/ali/cozinha-196.jpg
cozinha-197;infusor-cha-aco;Infusor Chá Aço;Cozinha;17,09;34,18;https://pt.aliexpress.com/w/wholesale-tea+infuser+stainless.html;assets/img/ali/cozinha-197.jpg
cozinha-198;luva-termica-silicone;Luva Térmica Silicone;Cozinha;24,35;48,70;https://pt.aliexpress.com/w/wholesale-silicone+oven+mitts.html;assets/img/ali/cozinha-198.jpg
cozinha-199;organizador-temperos;Organizador Temperos;Cozinha;44,03;88,06;https://pt.aliexpress.com/w/wholesale-spice+rack+organizer.html;assets/img/ali/cozinha-199.jpg
cozinha-200;mini-grill-eletrico;Mini Grill Elétrico;Cozinha;87,54;175,08;https://pt.aliexpress.com/w/wholesale-electric+sandwich+grill.html;assets/img/ali/cozinha-200.jpg
